timestamp,height_px,height_cm,height_cm_smooth,method
20251117_140117,0,33,,,hsv,,912,992,928,1025
20251117_140117,1,33,,,hsv,,730,960,753,993
20251117_140117,2,32,,,hsv,,1279,848,1297,880
20251117_140117,3,35,,,hsv,,688,848,703,883
20251117_140117,4,49,,,hsv,,832,799,865,848
20251117_140119,0,38,,,hsv,,1395,1042,1424,1080
20251117_140119,1,34,,,hsv,,815,927,833,961
20251117_140119,2,50,,,hsv,,303,895,330,945
20251117_140119,3,73,,,hsv,,1471,887,1510,960
20251117_140119,4,228,,,hsv,,1349,852,1515,1080
20251117_140119,5,50,,,hsv,,256,847,281,897
20251117_140119,6,119,,,hsv,,1840,842,1920,961
20251117_140119,7,45,,,hsv,,442,800,463,845
20251117_140119,8,83,,,hsv,,1513,777,1567,860
20251117_140121,0,137,,,hsv,,702,943,801,1080
20251117_140121,1,87,,,hsv,,59,938,95,1025
20251117_140121,2,122,,,hsv,,1096,857,1169,979
20251117_140124,0,65,,,hsv,,948,816,974,881
20251117_140124,1,169,,,hsv,,1512,699,1624,868
20251117_140126,0,51,,,hsv,,782,959,817,1010
20251117_140126,1,32,,,hsv,,0,792,25,824
20251117_140128,0,44,,,hsv,,1849,1007,1880,1051
20251117_140128,1,50,,,hsv,,325,1003,350,1053
20251117_140128,2,79,,,hsv,,424,976,472,1055
20251117_140128,3,40,,,hsv,,392,968,410,1008
20251117_140128,4,35,,,hsv,,504,959,524,994
20251117_140128,5,61,,,hsv,,424,916,449,977
20251117_140128,6,60,,,hsv,,0,856,20,916
20251117_140128,7,65,,,hsv,,635,831,673,896
20251117_140128,8,32,,,hsv,,384,831,404,863
20251117_140128,9,81,,,hsv,,528,830,559,911
20251117_140128,10,34,,,hsv,,424,799,442,833
20251117_140128,11,820,,,hsv,,0,260,408,1080
20251117_140130,0,45,,,hsv,,1048,1023,1084,1068
20251117_140130,1,37,,,hsv,,1103,927,1130,964
20251117_140132,0,52,,,hsv,,905,973,926,1025
20251117_140132,1,38,,,hsv,,1497,923,1520,961
20251117_140132,2,140,,,hsv,,893,805,977,945
20251117_140134,0,133,,,hsv,,1827,939,1912,1072
20251117_140134,1,79,,,hsv,,932,885,979,964
20251117_140134,2,102,,,hsv,,716,789,785,891
20251117_140136,0,120,,,hsv,,305,960,399,1080
20251117_140136,1,36,,,hsv,,1299,950,1327,986
20251117_140136,2,42,,,hsv,,1331,928,1350,970
20251117_140136,3,199,,,hsv,,120,881,231,1080
20251117_140136,4,78,,,hsv,,161,777,224,855
20251117_140136,5,73,,,hsv,,237,762,266,835
20251117_140136,6,135,,,hsv,,0,707,45,842
20251117_140139,0,1080,,,hsv,,0,0,453,1080
20251117_140141,0,50,,,hsv,,1145,1030,1182,1080
20251117_140141,1,48,,,hsv,,1136,975,1162,1023
20251117_140141,2,1080,,,hsv,,0,0,716,1080
20251117_140143,0,33,,,hsv,,662,1005,687,1038
20251117_140143,1,47,,,hsv,,1175,933,1209,980
20251117_140143,2,125,,,hsv,,625,827,705,952
20251117_140433,1,737,,,yolo,,800,109,1315,846
20251117_140435,1,738,,,yolo,,802,112,1315,850
20251117_140436,1,741,,,yolo,,803,110,1315,851
20251117_140438,1,739,,,yolo,,798,111,1314,850
20251117_140440,1,736,,,yolo,,796,112,1314,848
20251117_140443,1,752,,,yolo,,797,114,1314,866
20251117_140445,1,752,,,yolo,,798,111,1314,863
20251117_140447,1,751,,,yolo,,799,108,1314,859
20251117_140449,1,760,,,yolo,,802,114,1316,874
20251117_140451,1,757,,,yolo,,801,110,1313,867
20251117_140817,0,62,,,hsv,,1230,762,1255,824
20251117_140819,1,789,,,yolo,,807,114,1317,903
20251117_140821,1,790,,,yolo,,810,116,1320,906
20251117_140823,1,788,,,yolo,,810,115,1318,903
20251117_140826,1,732,,,yolo,,832,122,1308,854
20251117_140828,1,791,,,yolo,,807,114,1318,905
20251117_140830,1,791,,,yolo,,798,114,1321,905
20251117_140832,1,770,,,yolo,,810,125,1309,895
20251117_140835,1,794,,,yolo,,812,114,1320,908
20251117_140837,1,795,,,yolo,,810,113,1321,908
20251117_141030,0,78,,,hsv,,1232,737,1258,815
20251117_141032,1,812,,,yolo,,817,112,1331,924
20251117_141034,1,824,,,yolo,,688,111,1190,935
20251117_141036,1,818,,,yolo,,681,109,1180,927
20251117_141039,1,820,,,yolo,,683,110,1182,930
20251117_141041,1,818,,,yolo,,680,109,1184,927
20251117_141044,1,818,,,yolo,,682,109,1180,927
20251117_141046,1,821,,,yolo,,684,109,1184,930
20251117_141049,1,820,,,yolo,,685,109,1185,929
20251117_141051,1,821,,,yolo,,684,108,1181,929
20251117_141054,1,822,,,yolo,,685,109,1184,931
20251117_141056,1,820,,,yolo,,681,108,1183,928
20251117_141215,1,828,,,yolo,,685,118,1173,946
20251117_141218,0,74,3.82,3.39,hsv,,387,953,434,1027
20251117_141218,1,54,2.79,3.39,hsv,,360,912,390,966
20251117_141220,0,56,2.85,2.93,hsv,,399,961,430,1017
20251117_141220,1,64,3.26,2.93,hsv,,369,919,400,983
20251117_141222,0,46,2.34,3.65,hsv,,405,917,440,963
20251117_141225,0,40,2.03,3.57,hsv,,414,990,440,1030
20251117_141228,0,52,2.60,2.53,hsv,,308,875,336,927
20251117_141230,0,55,2.75,2.71,hsv,,364,876,393,931
20251117_141233,0,39,1.91,2.24,hsv,,231,856,256,895
20251117_141233,1,95,4.65,2.24,hsv,,343,851,393,946
20251117_141235,0,45,2.12,2.21,hsv,,279,862,308,907
20251117_141249,0,76,3.27,17.91,hsv,,983,885,1038,961
20251117_141252,0,37,1.59,20.13,hsv,,1052,899,1081,936
20251117_141252,1,63,2.70,20.13,hsv,,992,883,1044,946
20251117_141256,1,842,36.06,33.52,yolo,,0,125,451,967
20251117_141300,1,853,36.92,26.07,yolo,,0,117,449,970
20251117_141303,1,852,36.82,30.21,yolo,,0,121,449,973
20251117_141307,1,860,37.03,26.52,yolo,,1,130,456,990
20251117_141311,1,869,37.95,27.18,yolo,,0,103,454,972
20251117_141314,1,896,39.13,31.09,yolo,,0,92,465,988
20251117_141317,1,891,38.91,29.16,yolo,,0,96,468,987
20251117_141319,1,898,39.37,29.42,yolo,,0,101,464,999
20251117_141322,1,905,39.07,25.44,yolo,,0,95,466,1000
20251117_141325,1,907,38.25,30.51,yolo,,0,96,466,1003
20251117_141328,1,888,36.96,24.61,yolo,,0,110,463,998
20251117_141332,1,880,36.68,33.30,yolo,,0,118,465,998
20251117_141336,1,886,37.02,28.52,yolo,,0,120,462,1006
20251117_141523,1,684,,,yolo,,800,79,1385,763
20251117_141525,2,778,22.23,9.80,yolo,,11,60,628,838
20251117_141527,2,759,21.70,15.10,yolo,,-6,73,551,832
20251117_141529,2,759,21.80,15.53,yolo,,0,75,552,834
20251117_141531,2,769,21.86,15.45,yolo,,-1,66,543,835
20251117_141534,2,776,21.95,14.41,yolo,,-1,51,562,827
20251117_141536,2,781,22.06,17.21,yolo,,1,56,563,837
20251117_141539,2,761,21.47,14.86,yolo,,1,76,560,837
20251117_141541,2,767,21.46,19.13,yolo,,3,66,572,833
20251117_141543,2,762,21.38,17.36,yolo,,0,71,573,833
20251117_141545,2,776,21.84,15.83,yolo,,3,57,582,833
20251117_141548,2,770,21.69,13.36,yolo,,-2,64,559,834
20251117_141551,2,762,21.26,15.24,yolo,,4,76,575,838
20251117_141555,2,750,20.79,15.15,yolo,,-1,86,560,836
20251117_141559,2,747,20.68,19.68,yolo,,-1,89,567,836
20251117_141816,1,811,,,yolo,,855,72,1541,883
20251117_141819,2,761,25.85,20.94,yolo,,8,90,667,851
20251117_141821,2,752,25.16,17.60,yolo,,3,96,635,848
20251117_141823,2,754,24.80,17.68,yolo,,6,93,631,847
20251117_141839,0,40,,,hsv,,1862,988,1885,1028
20251117_141839,1,44,,,hsv,,1720,897,1744,941
20251117_141839,2,748,,,hsv,,1008,111,1361,859
20251117_141841,0,67,1.49,3.68,hsv,,967,960,1022,1027
20251117_141841,1,276,6.15,3.68,hsv,,0,709,163,985
20251117_141844,0,41,0.91,9.40,hsv,,697,845,723,886
20251117_141844,1,262,5.84,9.40,hsv,,0,708,152,970
20251117_141848,0,60,1.42,10.73,hsv,,944,976,967,1036
20251117_141848,1,271,6.40,10.73,hsv,,0,708,179,979
20251117_141851,0,64,1.51,8.51,hsv,,946,967,974,1031
20251117_141854,2,750,17.61,13.90,yolo,,1,109,541,859
20251117_141956,0,280,7.18,16.20,hsv,,0,708,208,988
20251117_141956,1,739,18.95,16.20,hsv,,206,117,583,856
20251117_141958,1,784,20.06,14.74,yolo,,18,72,651,856
20251117_142000,1,778,19.86,16.45,yolo,,-1,91,592,869
20251117_142002,1,769,19.68,15.08,yolo,,15,95,675,864
20251117_142005,1,754,19.29,16.12,yolo,,9,102,695,856
20251117_142007,1,757,19.37,14.51,yolo,,4,102,686,859
20251117_142009,1,753,19.27,15.13,yolo,,6,101,679,854
20251117_142012,1,753,19.27,14.81,yolo,,7,102,688,855
20251117_142014,1,750,19.19,14.62,yolo,,4,106,683,856
20251117_142017,1,754,19.29,15.63,yolo,,3,100,613,854
20251117_142021,1,740,18.94,15.81,yolo,,1,123,609,863
20251117_142025,1,748,19.14,15.15,yolo,,7,107,662,855
20251117_142028,1,747,19.12,17.05,yolo,,7,106,667,853
20251117_142032,1,747,19.12,14.03,yolo,,9,106,664,853
20251117_142035,1,735,18.92,15.17,yolo,,17,126,629,861
20251117_142037,1,748,19.22,15.75,yolo,,5,109,660,857
20251117_142039,1,752,19.10,14.28,yolo,,15,117,709,869
20251117_142042,1,749,18.90,15.66,yolo,,5,104,660,853
20251117_142044,1,755,19.00,14.18,yolo,,8,98,662,853
20251117_142047,1,745,18.83,17.44,yolo,,4,111,661,856
20251117_142106,1,778,20.32,2.08,yolo,,17,83,710,861
20251117_142109,1,779,20.31,16.95,yolo,,19,83,650,862
20251117_142112,1,797,20.73,16.16,yolo,,37,64,715,861
20251117_142131,1,736,19.02,14.74,yolo,,64,115,628,851
20251117_142134,1,757,19.55,15.43,yolo,,66,105,645,862
20251117_142137,1,724,18.67,14.76,yolo,,77,137,679,861
20251117_142141,1,753,19.42,15.49,yolo,,67,106,643,859
20251117_142145,1,755,19.48,13.38,yolo,,71,98,657,853
20251117_142148,1,785,20.28,15.13,yolo,,77,65,666,850
20251117_154706,0,39,,,hsv,,16,1024,39,1063
20251117_154716,0,67,,,hsv,,1721,953,1762,1020
20251117_154733,0,30,,,hsv,,494,1039,518,1069
20251117_154733,1,47,,,hsv,,159,1033,186,1080
20251117_154733,2,37,,,hsv,,216,1021,245,1058
20251117_154733,3,40,,,hsv,,994,1009,1024,1049
20251117_154733,4,32,,,hsv,,867,1009,891,1041
20251117_154733,5,79,,,hsv,,93,984,117,1063
20251117_154733,6,53,,,hsv,,333,974,367,1027
20251117_154733,7,35,,,hsv,,934,952,957,987
20251117_154733,8,49,,,hsv,,638,879,676,928
20251117_154733,9,75,,,hsv,,768,877,821,952
20251117_154733,10,52,,,hsv,,280,832,311,884
20251117_154733,11,48,,,hsv,,858,817,894,865
20251117_154733,12,41,,,hsv,,906,791,938,832
20251117_154733,13,54,,,hsv,,1159,756,1175,810
20251117_154743,0,55,,,hsv,,1882,1025,1905,1080
20251117_154758,0,39,,,hsv,,1751,1041,1775,1080
20251117_154822,0,50,1.04,1.04,hsv,,132,891,151,941
20251117_154833,0,45,0.84,0.85,hsv,,36,848,66,893
20251117_154845,0,191,3.79,1.44,hsv,,154,632,251,823
20251117_154857,0,43,0.85,0.96,hsv,,92,827,117,870
20251117_154908,0,81,1.61,0.94,hsv,,806,422,869,503
20251117_164629,0,161,,,hsv,,1336,767,1431,928
20251117_165034,0,41,9.59,9.59,hsv,,160,466,182,507
20251117_165044,0,34,8.40,9.70,hsv,,169,501,192,535
20251117_165139,0,39,,,hsv,,1495,912,1520,951
20251117_165139,1,79,,,hsv,,289,880,345,959
20251117_165149,0,49,,,hsv,,1312,949,1335,998
20251117_171103,5,461,,,yolo,5.000,688,472,1903,933
20251117_171113,5,467,,,yolo,5.000,666,585,1860,1052
20251117_171123,6,1050,,,yolo,6.000,1422,14,1889,1064
20251117_173745,2,370,,,yolo,2.000,884,0,1629,370
20251117_173755,2,399,,,yolo,2.000,1071,348,1901,747
20251117_173857,2,306,,,yolo,,1036,480,1600,786
20251117_173857,3,222,,,yolo_unconfirmed,,8,855,408,1077
20251117_173907,8,612,,,yolo,,670,206,1774,818
20251117_173917,8,571,,,yolo,,710,258,1791,829
20251117_174506,0,31,,,hsv,,1009,1010,1031,1041
20251117_174518,0,36,,,hsv,,1057,1007,1087,1043
20251117_174640,1,754,,,yolo,,457,140,1486,894
20251117_174650,1,731,,,yolo_unconfirmed,,382,209,1370,940
20251117_174650,2,860,,,yolo_unconfirmed,,482,2,1822,862
20251117_174650,3,795,,,yolo,,720,-10,1821,785
20251117_174700,3,650,,,yolo,,757,405,1639,1055
20251117_174700,5,307,,,yolo_unconfirmed,,1727,24,1931,331
20251117_174711,3,562,,,yolo,,579,366,1480,928
20251117_174711,9,165,,,yolo_unconfirmed,,1169,391,1556,556
20251117_174711,10,440,,,yolo_unconfirmed,,629,330,1385,770
20251117_174721,3,533,,,yolo,,560,355,1453,888
20251117_174721,9,156,,,yolo_unconfirmed,,1158,380,1521,536
20251117_174721,6,551,,,yolo_unconfirmed,,325,374,1075,925
20251117_174731,3,526,,,yolo,,561,352,1458,878
2025-11-21 18:58:52,3,194.10640957540417
2025-11-21 18:59:02,8,0
2025-11-21 18:59:12,6,0
2025-11-21 19:00:48,10,172.75732544024217
2025-11-21 19:00:59,13,30.57936709448882
2025-11-21 19:01:14,14,135.8891221609907
2025-11-21 19:01:26,18,148.19341554424457
2025-11-21 19:01:36,21,67.4447215579898
2025-11-21 19:01:59,18,78.48550572135518
2025-11-21 21:04:47,1,0
2025-11-21 21:05:07,3,31.56738581272674
2025-11-21 21:05:22,6,0
2025-11-21 21:05:32,7,24.439650996666106
2025-11-21 21:05:42,6,15.55977181174352
2025-11-21 21:05:52,6,20.166398932343448
2025-11-21 21:06:02,14,14.17044495522802
2025-11-21 21:06:12,19,18.771758331933793
2025-11-21 21:14:19,3,60.99653240656759
2025-11-21 21:14:29,4,27.453294557565265
2025-11-21 21:14:39,6,25.653590919970725
2025-11-21 21:14:49,6,26.682551618474296
2025-11-21 21:14:59,6,27.623356335345385
2025-11-21 21:15:09,6,33.12377980187494
2025-11-21 21:15:19,6,42.369285175461755
2025-11-21 21:15:29,6,25.956885714229866
2025-11-22 09:21:48,2,27.38889703543464
2025-11-22 09:21:58,2,27.785198994450436
2025-11-22 09:22:09,3,22.35480199885484
2025-11-22 09:22:19,3,21.49007930862853
2025-11-22 09:22:29,3,19.509890265402678
2025-11-22 09:22:39,3,17.337164413660208
2025-11-22 09:22:49,3,20.53908305305851
2025-11-22 09:22:59,3,28.43593183459476
2025-11-22 09:23:09,5,21.5873701656925
2025-11-22 09:23:19,5,19.21203963031175
2025-11-22 09:23:29,7,23.789436631614702
2025-11-22 09:23:40,7,23.33657751460163
2025-11-22 09:23:50,9,15.439791032065033
2025-11-22 09:24:53,1,25.43176773593982
2025-11-22 09:25:03,1,25.190647906847715
2025-11-22 09:25:20,5,17.48014573295407
2025-11-22 09:25:30,7,26.09747664576393
2025-11-22 09:25:40,7,33.77562738676051
2025-11-22 09:25:50,7,27.325458140992016
2025-11-22 09:32:40,1,28.13565555586631
2025-11-22 09:32:52,1,29.007052425825865
2025-11-22 09:33:02,8,25.744852761699835
2025-11-22 09:33:12,8,25.919244468649513
2025-11-22 09:33:22,17,24.526794257879537
2025-11-22 09:33:33,23,22.968639999383583
2025-11-22 09:33:43,25,24.397016852095472
2025-11-22 09:33:53,25,27.412972559163727
2025-11-22 09:34:03,25,27.743043928762223
2025-11-22 09:34:13,25,33.427325098724836
2025-11-22 10:20:44,1,295.46472892891336
2025-11-22 10:20:54,1,28.11559181545894
2025-11-22 10:21:04,1,26.67973277317791
2025-11-22 10:21:14,1,26.36934968047973
2025-11-22 10:21:29,5,20.158612349866278
2025-11-22 10:21:56,8,27.609049888047828
2025-11-22 10:22:06,10,26.619239306861704
2025-11-22 10:22:16,10,28.730109213031113
2025-11-22 10:22:27,10,33.45557288804461
2025-11-22 10:22:37,10,30.461870053557195
2025-11-22 10:22:48,18,24.247436166651404
2025-11-22 10:22:58,25,26.64798330588632
2025-11-22 10:23:08,25,27.45577432248855
2025-11-22 10:23:18,25,30.982936227625327
2025-11-22 10:23:28,28,26.921314502399753
2025-11-22 10:23:39,28,24.975363816060455
2025-11-22 10:23:49,30,23.84276695611741
2025-11-22 10:23:59,33,27.949498657358212
2025-11-22 10:24:09,33,27.140860711123057
2025-11-22 10:24:19,33,28.076287362509753
2025-11-22 10:43:31,2,26.263625658979056
2025-11-22 10:43:41,2,24.977690770194076
2025-11-22 10:43:52,4,21.42508531180318
2025-11-22 10:44:02,5,15.265745125942251
2025-11-22 10:44:12,12,23.87939132605701
2025-11-25 09:05:21,3,11.608776982942492
2025-11-25 09:05:31,7,26.10361919402885
2025-11-25 09:05:41,4,20.524030771967478
2025-11-25 09:05:51,4,27.11493830339142
2025-11-25 09:06:02,16,22.43186818786596
2025-11-25 09:06:12,4,28.75175633805663
2025-11-25 09:06:22,4,26.124411828666346
2025-11-25 09:06:33,21,19.545086067155378
2025-11-25 09:06:43,19,27.251980014543204
2025-11-25 09:06:53,19,25.482577750490165
2025-11-25 09:07:04,19,24.753607084738917
2025-11-25 09:07:17,27,8.323010491002277
2025-11-25 09:07:41,31,7.07717230563356
2025-11-25 09:10:56,2,22.362575513098484
2025-11-25 09:11:07,9,18.84769236940243
2025-11-25 09:11:18,9,25.785413642969086
2025-11-25 09:11:28,9,27.189934777300287
2025-11-25 09:11:38,12,23.420259719058482
2025-11-25 09:11:48,12,22.57143051218807
2025-11-25 09:11:58,18,25.2163603541589
2025-11-25 09:12:08,22,13.81967238415541
2025-11-25 09:12:18,22,19.391593120238277
2025-11-25 09:12:28,23,25.614780230977654
2025-11-25 09:12:57,24,25.74392631716896
2025-11-25 09:13:07,29,27.770588361365764
2025-11-25 09:13:17,29,26.94014552210688
2025-11-25 09:13:27,29,24.876277321378716
2025-11-25 09:13:37,29,24.31056482810792
2025-11-25 09:14:05,34,57.286855283415704
2025-11-25 09:14:15,34,50.557661017068156
2025-11-25 09:14:27,41,34.12296528487241
2025-11-25 09:14:37,41,42.39621537716499
2025-11-25 09:14:47,52,25.710346861892713
2025-11-25 09:14:58,52,48.216014300709105
2025-11-25 09:15:09,67,34.523504759760435
2025-11-25 09:15:22,68,23.75282036260973
2025-11-25 09:15:32,83,17.9848401805024
2025-11-25 09:15:48,92,16.385721501499194
2025-11-25 09:15:58,97,23.183728696836496
2025-11-25 09:16:09,101,17.065060454020937
2025-11-25 09:16:25,105,17.8599335589761
2025-11-25 09:16:40,106,13.271051636146801
2025-11-25 09:16:50,113,24.568316190216038
2025-11-25 09:17:00,113,24.19085473824714
2025-11-25 09:17:10,113,22.95624155568171
2025-11-25 09:17:21,113,37.92826406244517
2025-11-25 16:52:05,1,13.523064
2025-11-25 16:52:15,1,23.328373
2025-11-25 16:54:32,1,24.424059
2025-11-25 16:54:42,1,24.506037
2025-11-25 16:54:52,1,24.32155
2025-11-25 16:55:20,1,23.884836
2025-11-25 16:55:30,1,24.490791
2025-11-25 16:56:59,1,25.393486
2025-11-25 16:57:09,1,24.312672
2025-11-25 16:57:20,2,15.632789
2025-11-25 16:57:30,2,15.280699
2025-11-25 16:57:40,2,15.838998
2025-11-25 16:58:26,1,26.640348
2025-11-25 16:58:36,1,26.639103
2025-11-25 16:58:46,1,26.433762
2025-11-25 16:58:56,1,26.403515
2025-11-25 16:59:06,1,26.542564
