timestamp,height_px,height_cm,height_cm_smooth,method
20251112_031309,86,,,hsv
20251112_031313,1059,38.03,1.38,yolo
20251112_031318,59,2.12,2.04,hsv
20251112_031322,1074,38.57,33.42,yolo
20251112_031326,33,1.19,9.10,hsv
20251112_031330,32,1.15,4.08,hsv
20251112_031334,506,18.17,20.07,yolo
20251112_031338,791,28.41,28.59,yolo
20251112_031342,796,28.59,28.13,yolo
20251112_031347,38,1.36,19.90,hsv
20251112_031351,843,30.28,31.57,hsv
20251112_031355,431,15.48,6.39,yolo
20251112_031423,1080,,,yolo
20251112_031427,1053,,,yolo
20251112_031431,1045,10.50,10.57,yolo
20251112_031435,1080,10.85,1.40,yolo
20251112_031439,1080,10.85,10.85,yolo
20251112_031443,943,9.48,9.41,yolo
20251112_031447,1073,10.78,10.83,yolo
20251112_031526,1068,,,yolo
20251112_031531,1028,27.33,27.96,yolo
20251112_031535,1078,28.66,26.69,yolo
20251112_031558,39,16.37,24.37,hsv
20251112_031732,1024,,,hsv
20251112_031735,960,,,hsv
20251112_031739,881,,,hsv
20251112_031806,48,17.62,17.62,hsv
20251112_031813,161,3.10,13.26,hsv
20251112_031901,959,22.79,22.33,hsv
20251112_031905,959,23.27,23.60,hsv
20251112_031908,721,20.70,25.28,hsv
20251112_031912,682,20.51,21.10,hsv
20251112_031916,744,21.95,25.29,hsv
20251112_031920,698,21.28,23.58,hsv
20251112_031924,697,21.25,21.41,hsv
20251112_031927,784,24.58,24.68,hsv
20251112_031931,712,22.42,22.88,hsv
20251112_032134,760,23.49,16.89,yolo
20251112_032138,760,26.41,5.57,yolo
20251112_032142,758,28.16,4.38,yolo
20251112_032146,753,32.46,4.62,yolo
20251112_032150,759,29.69,3.91,yolo
20251112_032153,753,30.44,11.73,yolo
20251112_032157,760,30.50,5.32,yolo
20251112_032201,750,36.36,15.00,yolo
20251112_032205,721,30.03,3.86,yolo
20251112_032209,498,20.74,16.47,hsv
20251112_032444,655,23.42,19.20,hsv
20251112_032447,668,36.87,28.50,yolo
20251112_032451,668,32.80,15.13,yolo
20251112_032454,667,28.19,27.64,yolo
20251112_032458,668,38.31,35.58,yolo
20251112_032502,668,29.77,30.14,yolo
20251112_032506,35,1.56,19.12,hsv
20251112_032509,642,37.42,34.26,hsv
20251112_032513,658,33.77,33.64,hsv
20251112_032516,617,31.08,33.78,hsv
20251112_032520,656,33.23,33.27,hsv
20251112_032524,652,38.22,35.73,hsv
20251112_032527,589,29.36,28.45,hsv
20251112_032531,666,32.60,31.07,yolo
20251112_032737,598,17.59,17.59,yolo
20251112_032741,794,27.90,25.66,yolo
20251112_032745,39,1.68,13.28,hsv
20251112_032825,977,,,hsv
20251112_032833,632,215.18,215.18,yolo
20251112_032837,47,16.00,155.43,hsv
20251112_032845,71,24.17,63.27,hsv
20251112_032911,40,1.55,35.04,hsv
20251112_032916,52,1.79,8.05,hsv
20251112_032920,94,3.24,11.12,hsv
20251112_032955,40,1.45,1.45,hsv
20251112_033001,31,1.12,4.86,hsv
20251112_033044,645,22.79,23.10,hsv
20251112_033047,638,26.39,25.23,hsv
20251112_033051,633,22.25,22.29,hsv
20251112_033054,622,21.82,21.92,hsv
20251112_033058,597,21.03,21.72,hsv
20251112_033101,677,28.40,28.14,hsv
20251112_033104,677,30.01,29.50,hsv
20251112_033108,607,23.21,23.26,hsv
20251112_033111,616,22.24,24.87,hsv
20251112_033115,513,27.63,27.59,hsv
20251112_033119,591,38.89,36.30,hsv
20251112_033122,554,33.58,38.68,hsv
20251112_033126,667,40.33,36.12,yolo
20251112_033130,662,39.38,40.17,yolo
20251112_033134,664,38.80,35.42,yolo
20251112_033137,494,28.11,30.64,hsv
20251112_033141,642,36.10,35.80,yolo
20251112_033145,638,34.57,33.64,yolo
20251112_033149,656,31.57,32.24,yolo
20251112_033152,638,27.75,28.12,yolo
20251112_033159,47,2.01,10.64,hsv
20251112_033206,75,5.09,10.64,hsv
20251112_033210,41,2.78,10.64,hsv
20251112_033213,584,23.19,24.15,hsv
20251112_033217,666,29.70,29.27,yolo
20251112_033221,640,29.70,28.48,yolo
20251112_033224,630,34.76,27.33,yolo
20251112_033228,653,32.90,30.14,yolo
20251112_033232,617,30.92,29.46,yolo
20251112_033236,642,31.44,32.89,yolo
20251112_033239,644,35.43,33.67,yolo
20251112_033243,541,28.52,28.49,yolo
20251112_033247,653,42.06,36.71,yolo
20251112_033250,642,39.30,34.87,yolo
20251112_033254,657,40.57,39.26,yolo
20251112_033258,667,41.22,37.94,yolo
20251112_033302,669,41.13,39.40,yolo
20251112_033306,49,2.98,19.56,hsv
20251112_095049,52,,,hsv
20251112_095054,807,,,hsv
20251112_095059,51,,,hsv
20251112_095103,536,,,hsv
20251112_095107,536,,,hsv
20251112_095112,536,,,hsv
20251112_095116,536,,,hsv
20251112_095120,536,,,hsv
20251112_095124,536,,,hsv
20251112_095129,536,,,hsv
20251112_095133,536,,,hsv
20251112_095137,536,,,hsv
20251112_095141,536,,,hsv
20251112_095146,536,,,hsv
20251112_095150,536,,,hsv
20251112_095154,536,,,hsv
20251112_095158,536,,,hsv
20251112_095203,536,,,hsv
20251112_095207,536,,,hsv
20251112_095211,536,,,hsv
20251112_095215,536,,,hsv
20251112_095220,536,,,hsv
20251112_095224,536,,,hsv
20251112_095228,536,,,hsv
20251112_095233,536,,,hsv
20251112_095237,536,,,hsv
20251112_095257,385,,,hsv
20251112_095301,394,,,hsv
20251112_095306,67,,,hsv
20251112_095311,115,,,hsv
20251112_095316,48,,,hsv
20251112_095321,167,,,hsv
20251112_095326,156,,,hsv
20251112_095334,58,12.83,12.83,hsv
20251112_101944,59,,,hsv
20251112_101948,132,,,hsv
20251112_101953,644,,,hsv
20251112_101957,64,,,hsv
20251112_102002,91,,,hsv
20251112_102006,65,,,hsv
20251112_102011,914,,,hsv
20251112_102015,886,,,hsv
20251112_102020,822,,,hsv
20251112_102026,47,1.91,1.91,hsv
20251112_102030,524,24.22,22.68,hsv
20251112_102033,524,26.64,26.36,hsv
20251112_102037,524,29.92,17.64,hsv
20251112_102041,524,20.69,20.45,hsv
20251112_102059,164,7.38,9.83,hsv
20251112_102103,465,21.47,21.61,yolo
20251112_102106,31,1.48,15.91,hsv
20251112_102110,479,20.18,19.94,hsv
20251112_102123,326,14.13,18.78,hsv
20251112_102126,564,24.03,20.24,yolo
20251112_102130,564,24.93,20.98,yolo
20251112_102134,564,24.50,15.17,yolo
20251112_102138,564,24.83,10.71,yolo
20251112_102142,564,24.70,18.99,yolo
20251112_102146,564,25.11,7.28,yolo
20251112_102150,564,24.69,20.68,yolo
20251112_102153,564,24.54,24.40,yolo
20251112_102157,547,23.54,20.45,yolo
20251112_102253,63,2.74,17.11,hsv
20251112_102256,66,2.61,3.45,hsv
20251112_102300,103,4.00,4.79,hsv
20251112_102306,799,32.72,4.27,yolo
20251112_102310,50,2.06,9.22,hsv
20251112_102314,48,1.98,20.08,hsv
20251112_102317,804,33.13,32.99,hsv
20251112_102321,804,33.13,32.91,hsv
20251112_102324,709,29.27,31.75,hsv
20251112_102328,782,32.53,32.36,hsv
20251112_103021,333,,,hsv
20251112_103028,46,,,hsv
20251112_103036,33,,,hsv
20251112_103041,47,2.07,2.07,hsv
20251112_103049,180,10.93,2.07,hsv
20251112_103127,644,24.21,6.55,yolo
20251112_103130,119,4.94,5.22,hsv
20251112_103133,118,4.98,4.98,hsv
20251112_103138,82,4.23,4.51,hsv
20251112_103654,870,31.06,23.00,hsv
20251112_103659,815,32.41,32.67,yolo
20251112_103703,781,33.04,32.57,yolo
20251112_103706,904,35.47,35.60,yolo
20251112_103709,923,35.31,36.10,yolo
20251112_103715,43,1.58,24.31,hsv
20251112_103814,605,24.59,24.40,hsv
20251112_104347,596,25.34,25.00,hsv
20251112_104350,596,27.21,27.04,hsv
20251112_104354,549,26.63,27.19,hsv
20251112_104357,596,32.35,32.25,hsv
20251112_104401,588,35.84,35.41,hsv
20251112_104405,556,31.20,31.72,hsv
20251112_104427,796,51.51,17.31,hsv
20251112_104430,749,35.85,35.74,hsv
20251112_104434,820,34.73,37.21,hsv
20251112_104438,820,34.35,33.47,hsv
20251112_104441,778,38.29,38.10,hsv
20251112_104445,780,41.29,41.51,hsv
20251112_104449,790,44.11,44.21,hsv
20251112_104452,792,43.51,44.72,hsv
20251112_104456,764,47.46,45.44,hsv
20251112_105421,915,22.34,23.02,hsv
20251112_105425,1013,22.24,23.92,hsv
20251112_105429,1014,21.66,21.21,hsv
20251112_105433,80,2.07,13.98,hsv
20251112_105437,991,22.77,22.86,hsv
20251112_105442,1080,21.56,21.13,hsv
20251112_105446,697,27.58,25.25,hsv
20251112_105450,891,21.59,21.80,hsv
20251112_105454,879,21.21,20.93,hsv
20251112_105458,1026,24.16,24.93,hsv
20251112_105502,1080,180.41,18.18,hsv
20251112_105506,169,24.78,76.31,hsv
20251112_105509,32,4.69,24.28,hsv
20251112_105513,141,20.67,18.27,hsv
20251112_105517,927,135.91,31.20,hsv
20251112_105544,1056,34.87,33.95,hsv
20251112_105548,1080,35.80,34.76,hsv
20251112_105552,1032,35.54,14.93,hsv
20251112_105556,1065,35.58,35.20,hsv
20251112_105601,1049,35.30,35.23,hsv
20251112_105605,954,32.69,32.30,hsv
20251112_105610,689,24.11,25.07,yolo
20251112_105615,744,29.24,25.97,yolo
20251112_105619,790,26.87,20.19,yolo
20251112_105624,944,32.89,19.76,yolo
20251112_105628,934,33.42,32.05,yolo
20251112_105633,967,36.37,35.70,yolo
20251112_105637,953,45.78,40.23,hsv
20251112_105641,81,3.45,16.53,hsv
20251112_110402,0,44,2.52,8.46,hsv,,212,1036,244,1080
20251112_110402,1,512,29.28,8.46,hsv,,263,481,624,993
20251112_110407,0,62,3.55,4.56,hsv,,422,801,468,863
20251112_110411,0,48,3.28,6.92,hsv,,902,944,917,992
20251112_110416,0,852,34.38,34.61,yolo,0.896,491,0,976,852
20251112_110420,0,836,33.93,33.62,yolo,0.936,444,0,976,836
20251112_110425,0,662,27.76,31.05,yolo,0.885,482,29,976,691
20251112_110429,0,775,33.12,34.57,yolo,0.830,494,58,976,833
20251112_110433,0,861,36.43,23.99,yolo,0.808,156,210,970,1071
20251112_110437,0,551,23.31,27.03,hsv,,0,529,301,1080
20251112_110448,0,864,34.16,5.79,yolo,0.512,700,0,1381,864
20251112_110451,0,55,2.15,6.08,hsv,,229,784,263,839
20251112_110455,0,32,1.25,4.91,hsv,,517,944,533,976
20251112_110455,1,42,1.64,4.91,hsv,,181,878,207,920
